radiant_win,avg_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
True,19,8,86,104,110,64,41,99,14,26,76
False,33,20,119,18,131,13,91,136,104,97,101
True,27,61,57,30,8,10,91,70,42,74,35
False,22,88,65,108,68,126,23,102,56,46,64
True,16,17,35,14,41,27,44,131,86,123,61
True,31,51,76,39,29,109,98,36,62,8,21
False,31,83,86,74,96,41,53,49,64,135,29
True,21,29,126,93,53,52,1,81,40,68,59
False,28,103,34,47,8,57,61,77,45,64,48
True,34,62,44,27,106,77,129,37,17,48,75
False,18,39,2,14,74,6,96,102,86,131,61
True,11,30,11,135,131,136,81,87,25,104,19
True,26,30,43,25,31,48,9,64,105,6,131
True,17,36,8,131,96,35,20,39,95,57,7
True,11,50,93,77,17,26,11,91,44,8,123
True,28,28,25,44,123,92,131,39,42,36,86
False,19,106,29,8,75,54,131,95,39,97,35
True,31,57,42,131,15,44,108,105,10,52,126
True,13,111,12,17,7,30,73,14,108,35,22
True,17,17,9,35,19,50,2,102,67,25,5
False,18,86,36,104,18,26,60,5,81,106,88
False,5,49,35,2,42,131,97,73,57,25,26
True,21,75,35,84,86,136,16,114,30,131,83
True,6,73,75,43,91,48,85,52,49,40,64
True,36,131,83,11,10,42,82,21,64,86,44
True,33,63,15,17,21,83,86,39,41,131,71
True,16,69,131,50,6,15,121,80,41,2,30
True,27,47,69,35,26,14,39,94,20,102,60
True,9,64,17,33,84,94,5,22,2,67,131
True,14,71,86,81,96,59,41,64,63,131,22
True,21,74,49,31,101,42,107,34,13,39,1
True,15,131,18,44,86,42,10,104,25,14,30
True,19,80,54,20,131,84,41,67,17,40,39
True,21,131,96,39,93,30,14,20,102,34,95
False,31,131,85,57,128,44,71,5,7,8,17
False,23,43,41,131,99,64,85,17,42,48,31
True,17,94,27,128,47,32,131,1,105,53,84
True,22,37,121,39,10,2,76,112,86,128,8
True,34,114,131,17,60,88,136,59,92,72,34
True,36,129,68,42,123,17,80,86,131,135,9
False,8,40,44,131,81,36,14,88,104,6,32
True,36,119,28,131,114,17,104,123,100,11,13
False,24,30,70,11,137,90,108,123,32,57,21
True,36,21,111,136,70,113,82,98,18,25,86
False,11,6,39,131,2,14,7,83,80,56,44
False,27,73,44,121,22,19,49,114,25,131,63
False,27,74,2,26,1,57,123,131,85,63,39
True,14,131,21,44,53,72,100,1,62,20,52
False,17,102,63,84,74,98,42,121,17,53,88
False,36,44,40,10,102,98,128,11,131,8,69
True,29,35,10,31,121,98,86,30,94,16,76
True,9,14,49,74,60,26,16,36,1,131,31
False,33,22,110,16,73,100,17,102,95,131,136
True,21,106,44,11,111,34,41,2,52,40,74
False,32,49,39,131,101,18,21,108,71,17,26
True,36,48,102,96,17,14,18,40,46,25,38
True,29,81,13,110,86,2,19,47,39,131,114
True,22,62,63,135,87,8,85,95,51,47,131
True,11,42,88,50,16,73,18,131,43,56,11
True,31,44,11,7,23,131,49,6,64,128,106
True,26,11,104,30,42,131,121,17,114,84,101
True,36,21,9,35,131,126,107,67,34,69,40
True,21,112,30,108,86,32,106,26,16,25,88
True,21,17,131,60,8,57,56,54,93,27,14
True,22,27,97,11,86,95,57,123,1,131,137
False,27,75,138,44,29,36,96,13,86,15,131
True,34,19,7,87,72,32,88,131,13,30,94
True,28,8,98,131,61,30,34,123,11,74,70
