ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7916034210,False,777,7,22,44,5,10,13,2,83,27,120,14,131,18,71
7916033108,True,1495,7,22,44,6,22,44,49,15,102,94,58,19,104,36
7916032014,False,1508,7,22,61,3,64,7,18,94,40,35,44,42,131,20
7916031700,False,1531,0,22,42,2,70,18,7,53,74,10,106,68,113,40
7916031016,True,1613,7,22,23,7,19,97,37,62,1,44,22,86,53,16
7916030515,False,1613,7,22,71,4,129,48,126,26,111,11,74,60,131,50
7916030412,True,1515,7,3,42,5,22,49,93,104,101,74,81,36,84,21
7916030410,True,1574,7,22,54,3,57,70,49,86,131,7,39,41,101,69
7916030307,True,1634,7,22,64,6,21,16,131,46,84,135,20,93,35,26
7916030118,False,1685,7,22,52,3,92,40,63,39,58,44,123,97,82,68
7916030011,False,1653,7,22,81,4,86,35,131,108,21,49,75,43,81,97
7916029708,True,1482,7,22,81,4,74,98,41,26,50,10,75,105,83,28
7916029602,False,1612,7,22,62,9,1,105,131,60,35,108,136,74,62,4
7916029513,False,1667,7,3,81,7,75,64,11,108,76,106,104,50,138,72
7916029412,True,1647,7,22,31,5,8,75,35,84,2,17,44,64,87,43
7916029214,True,1786,7,22,41,9,8,77,27,64,61,4,101,30,56,6
7916029109,True,1765,7,22,62,8,44,100,16,9,13,2,86,22,6,123
7916028604,False,1814,7,22,41,4,41,2,28,84,21,15,57,104,30,32
7916028601,False,1675,7,22,73,7,28,114,67,57,19,5,112,54,107,7
7916028100,True,1569,7,22,43,4,20,21,48,7,14,40,70,78,17,131
7916028006,True,1634,7,3,64,8,107,10,129,22,50,76,60,42,20,102
7916027610,True,1771,7,22,44,4,123,104,30,41,35,108,8,105,110,25
7916027509,True,1893,7,22,61,2,10,137,91,21,42,36,22,14,35,74
7916027501,False,1953,7,22,35,5,107,16,47,93,68,8,29,20,35,58
7916027315,False,1717,7,22,44,6,86,44,50,11,19,30,63,34,119,104
7916027211,False,1894,7,22,52,3,37,83,23,44,2,136,16,11,131,62
7916027207,False,1819,7,22,52,3,131,63,53,19,121,46,57,113,3,86
7916027206,False,1872,7,22,54,5,86,2,128,64,44,113,37,126,42,14
7916027010,False,1797,7,22,42,8,8,121,72,28,76,104,37,128,41,19
7916027003,True,1705,7,22,81,7,26,49,11,104,63,111,21,16,106,62
7916026811,True,1914,7,22,61,4,104,71,94,22,138,40,4,26,98,113
7916026719,False,1803,7,22,41,4,86,1,57,39,11,53,50,54,35,51
7916026600,True,1963,7,22,51,3,86,105,51,48,129,123,35,28,26,44
7916026419,True,1979,7,22,34,4,93,84,5,41,31,21,42,131,53,25
7916026418,True,1901,7,22,21,4,44,21,9,73,60,101,62,67,47,19
7916026217,True,1880,7,22,61,7,27,44,129,106,50,1,94,39,14,99
7916026204,False,1798,0,22,34,3,131,93,74,85,58,94,5,54,106,86
7916026105,False,1881,7,22,51,6,63,32,83,14,43,123,85,21,51,94
7916025812,True,2028,7,22,81,4,44,86,131,82,62,31,67,129,68,27
7916025715,True,1802,7,22,13,2,53,25,75,26,85,96,32,70,119,74
7916025613,True,1945,7,22,22,5,68,81,42,106,131,51,67,12,100,53
7916025612,True,1793,7,22,51,3,18,22,30,62,15,27,73,1,7,84
7916025610,True,1942,7,3,71,4,40,15,128,9,106,76,138,8,136,2
7916025318,True,2135,7,22,71,5,14,88,43,17,1,71,9,35,96,48
7916025018,True,2152,7,22,22,7,123,96,86,25,15,2,71,68,48,31
7916024913,False,1929,7,22,41,2,86,60,39,8,83,131,93,94,104,14
7916024903,False,1747,7,22,81,5,106,123,86,18,120,131,64,109,53,114
7916024815,True,2131,7,22,24,5,52,84,93,101,75,62,88,8,22,2
7916024803,True,2016,7,22,53,3,110,8,131,106,99,93,60,5,39,86
7916024800,True,1790,7,22,52,5,16,83,131,99,76,80,58,30,25,11
7916024702,True,2027,7,22,31,3,37,79,48,81,17,36,1,27,75,64
7916024603,False,2202,7,22,55,8,26,49,39,11,50,14,7,22,81,123
7916024202,True,1973,7,22,75,4,68,131,81,108,47,16,110,103,63,20
7916024102,False,2124,7,22,53,3,97,14,126,2,8,107,13,35,104,131
